Year,Tamil_Nadu,Tamil_Nadu,Gujarat,Gujarat,Tripura,Tripura,Jammu_and_Kashmir,Jammu_and_Kashmir,Jharkhand,Jharkhand,India,India,Nagaland,Nagaland,West_Bengal,West_Bengal,Uttarakhand,Uttarakhand,Andhra_Pradesh,Andhra_Pradesh,Karnataka,Karnataka,Assam,Assam,Kerala,Kerala,Puducherry,Puducherry,Andaman_and_Nicobar_Islands,Andaman_and_Nicobar_Islands,Meghalaya,Meghalaya,Rajasthan,Rajasthan,Arunachal_Pradesh,Arunachal_Pradesh,Goa,Goa,Punjab,Punjab,Delhi,Delhi,Maharashtra,Maharashtra,Bihar,Bihar,Manipur,Manipur,Sikkim,Sikkim,Uttar_Pradesh,Uttar_Pradesh,Mizoram,Mizoram,Himachal_Pradesh,Himachal_Pradesh,Lakshadweep,Lakshadweep,Daman_and_Diu,Daman_and_Diu,Haryana,Haryana,Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,Madhya_Pradesh,Madhya_Pradesh,Chattisgarh,Chattisgarh,Chandigarh,Chandigarh,Odisha,Odisha
Year,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value
1989,0,0,0.023,1.12,0,0,0,0,0.165,7.05,3.01,956.74,0,0,0.01,1.24,0.652,0,0.78,368.74,0.04,18.76,0.37,69.15,0.13,352.8,0,0.13,0,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0.33,35.87,0.165,7.05,0.08,0,0,0,0.652,0,0,0,0.041,99.56,0,0,0,0,0.004,0.801,0,0,0,0,0,0,0,0,0.009,0
1990,0,0,0.481,77.862,0,0,0,0,0.32,18.17,3.179,695.61,0,0,0.041,14.267,1.204,481.758,0,0,0,0.041,0.207,63.7,0,0,0,0,0,0,0,0,0.083,5.787,0,0,0,0,0.004,4.43,0,0,0.27,0,0.32,18.17,0.045,6.97,0,2.51,1.204,481.758,0,1.53,0,15.72,0,0,0,0,0.045,9.835,0,0,0.041,0,0.041,0,0,0,0.48,0
1991,0,0,0.188,5.22,0,0,0,0,0.405,23.61,2.698,579.015,0,0,0.141,100.352,0.291,116.4,0.007,0.143,0.175,21.54,0.348,117.05,0.578,103.48,0.012,5.09,0,0,0.003,2.21,0,0,0,0,0,0,0,0,0,0,0.001,0.177,0.405,23.61,0.054,8.15,0,0,0.291,116.4,0,0,0,0,0,0,0,0,0,0.022,0,0,0.009,0.053,0.009,0.053,0,0,0.54,83.668
1992,0.24,23.75,0,1,0,0,0.248,137.558,0.025,0.581,1.748,1027.578,0,0,0.006,2.28,0.295,181.28,0.344,112.63,0,0,0.043,17.898,0.441,413.15,0.001,0.01,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0.044,7.797,0.025,0.581,0.054,8.1,0,0,0.295,181.28,0,0,0,92.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,37.1
1993,0,0,0.043,12.124,0.053,41.34,0,0.08,0.162,66.825,3.206,1308.627,0.009,8.16,0.214,54.772,0.749,368.06,0,0,0.298,116.229,0.215,51.09,0.066,6.84,0.008,17.65,0,0,0.008,6.501,0,0,0.07,2.835,0,0,0.201,348.21,0,0,0.014,2.392,0.162,66.825,0.047,8.4,0,0,0.749,368.06,0.003,4,0.375,201.519,0,0,0,0,0.543,0,0,0,0,0,0,0,0,0,0.175,0
1994,0,0,1.05,0,0,0,0,0,0.331,45.068,3.963,888.622,0,0,0,0,0.598,295.201,0.013,0,0.128,25.8,0.025,8.377,0.198,144.5,0,0.273,0,0,0,0,0.176,11.09,0.001,0,0,0,0.062,0,0,0,0.032,61.58,0.331,45.068,0.034,6.97,0,0,0.598,295.201,0,0,0.476,248.563,0,0,0,0,0.031,16.62,0,0,0.377,31.55,0.377,31.55,0,0,0.465,0
1995,0,0,0,0,0,0,0.041,0,0.424,195.143,3.245,1714.787,0,0,0.463,705.661,0.799,0,0,0,0.005,2.36,0.218,0,0.011,4.049,0,0,0,0,0.011,0,0.591,373.98,0.004,0,0,0,0.276,182.54,0.005,6.99,0.003,0,0.424,195.143,0.045,8.15,0,0,0.799,0,0,0,0.335,233.593,0,0,0,0,0.014,10.471,0,0,0,0,0,0,0,0,0,0
1996,0.005,0,0.003,6.049,0,0,0.046,0,0.734,70.315,3.827,1124.491,0,0,0.083,0,0.678,678,1.128,0,0.069,2.62,0.502,52.042,0.03,59.07,0,0,0,0,0,0,0.21,0,0.006,10.429,0,0,0,0,0,0,0,0,0.734,70.315,0.035,6.95,0,0,0.678,678,0,0,0.299,245.966,0,0,0,0,0,0,0,0,0.014,0,0.014,0,0,0,0.02,0
1997,0,0,0,0,0,0,0,0,0.655,57.377,2.258,692.743,0,0,0.193,0,0.155,0,0.184,128.85,0.019,6.053,0.103,19.456,0.09,243,0,0,0,0,0,0,0,0.073,0,0,0,0,0.086,0,0.155,25.579,0.049,0,0.655,57.377,0.054,8.5,0,0,0.155,0,0.002,18.49,0.254,173.21,0,0,0,0,0.002,6,0,0,0.022,0,0.022,0,0,0,0.444,40.234
1998,0.027,9.97,0,0,0.013,7.819,0,0,1.284,366.967,7.495,2594.167,0,0,0.465,149.725,1.415,224.523,1.405,821.41,0,0,0.478,463.304,0.013,15.977,0,0,0,0,0,0.01,0.001,0.13,0,0,0,0,1.662,9.264,0,0,0.002,0.54,1.284,366.967,0.047,9.96,0,0,1.415,224.523,0,0,0.265,105.765,0,0,0,0,0.335,398.49,0,0,0.115,19.677,0.115,19.677,0,0,0,0
